t,event,task,x,y,scheduled_start,actual_start,schedule_deviation,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
125.278,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 81.34s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
126.310,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 82.37s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
127.341,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 83.40s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
128.376,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 84.44s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
129.414,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 85.48s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
130.452,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 86.51s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
131.490,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 87.55s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
132.516,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 88.58s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
133.545,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 89.61s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
134.575,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 90.64s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
135.603,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 91.67s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
136.621,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 92.68s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
137.656,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 93.72s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
138.675,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 94.74s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
139.688,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 95.75s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
140.711,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 96.77s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
141.738,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 97.80s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
142.765,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 98.83s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
143.786,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 99.85s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
144.816,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 100.88s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
145.833,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 101.90s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
146.848,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 102.91s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
147.876,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 103.94s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
148.907,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 104.97s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
149.943,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 106.01s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
150.970,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 107.03s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
152.002,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 108.07s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
153.034,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 109.10s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
154.061,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 110.12s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
155.088,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 111.15s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
